id,app,name,applied
1,contenttypes,0001_initial,2025-02-10 04:32:51.514141
2,auth,0001_initial,2025-02-10 04:32:51.531675
3,admin,0001_initial,2025-02-10 04:32:51.546916
4,admin,0002_logentry_remove_auto_add,2025-02-10 04:32:51.558958
5,admin,0003_logentry_add_action_flag_choices,2025-02-10 04:32:51.566929
6,contenttypes,0002_remove_content_type_name,2025-02-10 04:32:51.582028
7,auth,0002_alter_permission_name_max_length,2025-02-10 04:32:51.593415
8,auth,0003_alter_user_email_max_length,2025-02-10 04:32:51.603000
9,auth,0004_alter_user_username_opts,2025-02-10 04:32:51.610617
10,auth,0005_alter_user_last_login_null,2025-02-10 04:32:51.622570
11,auth,0006_require_contenttypes_0002,2025-02-10 04:32:51.625969
12,auth,0007_alter_validators_add_error_messages,2025-02-10 04:32:51.633337
13,auth,0008_alter_user_username_max_length,2025-02-10 04:32:51.644729
14,auth,0009_alter_user_last_name_max_length,2025-02-10 04:32:51.654586
15,auth,0010_alter_group_name_max_length,2025-02-10 04:32:51.663829
16,auth,0011_update_proxy_permissions,2025-02-10 04:32:51.671507
17,auth,0012_alter_user_first_name_max_length,2025-02-10 04:32:51.681581
18,sessions,0001_initial,2025-02-10 04:32:51.690465
